Indicator,Champion,Competitor,Champion MAPE,Competitor MAPE,DM Statistic,p-value,Significant (5%),Significant (10%)
3-Month Treasury,GRU,LSTM,3.15243219868945,5.928880707605657,-1.5661565209398982,0.1173119787178476,No,No
3-Month Treasury,GRU,mLSTM,3.15243219868945,7.978681874348294,-2.4724782556019114,0.013417987612660776,Yes,Yes
3-Month Treasury,GRU,Transformer,3.15243219868945,8.9906343967679,-4.127652154796134,3.664859309293611e-05,Yes,Yes
3-Month Treasury,GRU,sLSTM,3.15243219868945,18.971002600771914,-5.409117119424879,6.333620183873734e-08,Yes,Yes
Real GDP (combined),Transformer,GRU,9.434550148138754,15.782695404813577,-2.166804738136778,0.0302497460186002,Yes,Yes
Real GDP (combined),Transformer,mLSTM,9.434550148138754,24.817940944531184,-2.690540428215668,0.0071336390980971665,Yes,Yes
Real GDP (combined),Transformer,LSTM,9.434550148138754,31.52271722090607,-2.622465336266766,0.008729614761827209,Yes,Yes
Real GDP (combined),Transformer,sLSTM,9.434550148138754,68.28374217304584,-8.25879036562507,2.220446049250313e-16,Yes,Yes
